City,Date,NO2,CO,SO2
Ahmedabad,2016-08-06,,,
Ahmedabad,2016-08-07,28.09,2.77,15.37
Ahmedabad,2016-08-08,27.88,9.72,13.18
Ahmedabad,2016-08-09,22.63,6.96,14.75
Ahmedabad,2016-08-10,18.13,10.41,15.01
Ahmedabad,2016-08-11,17.81,12.59,14.26
Ahmedabad,2016-08-12,14.69,13.53,14.56
Ahmedabad,2016-08-13,13.25,8.64,15.3
Ahmedabad,2016-08-14,12.91,8.14,14.51
Ahmedabad,2016-08-15,13.45,8.38,16.6
Ahmedabad,2016-08-16,17.88,15.47,14.21
Ahmedabad,2016-08-17,16.07,7.66,16.13
